name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
London Heathrow,2023-01-01,54.1,45.6,51.4,54.1,43.4,51,45.1,79.2,0.086,100,45.83,rain,0,0,28.1,18,224.2,1008,81,9.1,17.9,1.5,1,,2023-01-01T08:06:11,2023-01-01T16:02:08,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D5621,03781099999,03672099999,AR120,03772099999,03770099999"
London Heathrow,2023-01-02,48.2,36.8,43.5,44,33.9,40.2,39.6,86.8,0.022,100,8.33,rain,0,0,14.1,9.5,245.9,1016.8,40.1,16.1,24.3,2,2,,2023-01-02T08:06:05,2023-01-02T16:03:12,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"D5621,03781099999,03672099999,03772099999,03770099999"
London Heathrow,2023-01-03,55,39.2,48.1,55,37.3,46.5,45.5,90.6,0.082,100,33.33,rain,0,0,32.1,20.2,201.4,1018.7,90.7,7.2,8.1,0.6,0,,2023-01-03T08:05:54,2023-01-03T16:04:18,0.38,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"D5621,03781099999,03672099999,F6665,03772099999,03770099999"
London Heathrow,2023-01-04,57.1,51.5,54.8,57.1,51.5,54.8,48.8,80.3,0.016,100,8.33,rain,0,0,33.1,23.5,244.6,1014.6,79,10.8,14.7,1.4,1,,2023-01-04T08:05:41,2023-01-04T16:05:27,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"D5621,03781099999,03672099999,03772099999,03770099999"
London Heathrow,2023-01-05,56.4,49.7,53,56.4,45.7,52.6,47.2,80.8,0,0,0,,0,0,29.2,16.9,229.7,1018.6,91.5,12,17.3,1.5,1,,2023-01-05T08:05:24,2023-01-05T16:06:39,0.45,Overcast,Cloudy skies throughout the day.,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
London Heathrow,2023-01-06,54.6,43.9,50.4,54.6,38.3,48.7,45.9,84.8,0.125,100,25,rain,0,0,28.4,19.4,215.7,1013.8,59.9,16.6,28.5,2.4,2,,2023-01-06T08:05:04,2023-01-06T16:07:53,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"D5621,03781099999,03672099999,03772099999,03770099999"
London Heathrow,2023-01-07,55,45.6,51.2,55,39.9,49.6,45.6,81.3,0.128,100,41.67,rain,0,0,35.8,22.5,199.6,1000.7,80.5,13.1,5.4,0.6,0,,2023-01-07T08:04:41,2023-01-07T16:09:10,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D5621,03781099999,03672099999,03772099999,03770099999"
London Heathrow,2023-01-08,50,42,45.5,44.9,36.3,39.8,41.6,85.9,0.319,100,62.5,rain,0,0,28.2,16.9,208,992.9,77.3,11.7,18.8,1.5,1,,2023-01-08T08:04:14,2023-01-08T16:10:29,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D5621,03781099999,03672099999,03772099999,03770099999"
London Heathrow,2023-01-09,48.7,41.2,44.3,43.3,35,38.2,38,79.1,0.001,100,4.17,rain,0,0,25.2,17.8,264,1001.2,46.2,16.8,26.8,2.3,2,,2023-01-09T08:03:45,2023-01-09T16:11:49,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"D5621,03781099999,03672099999,03772099999,03770099999"
London Heathrow,2023-01-10,55.6,40.5,48.6,55.6,34.6,45.7,45,87.3,0.282,100,50,rain,0,0,33.6,20.1,213.1,1008.4,81.1,7.4,8.3,0.8,1,,2023-01-10T08:03:12,2023-01-10T16:13:13,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D5621,03781099999,03672099999,03772099999,03770099999"
London Heathrow,2023-01-11,51.1,45.6,48.6,51.1,39.4,44.3,42.2,78.8,0.065,100,25,rain,0,0,30.2,19.4,243.7,1008.5,48.6,13.9,25.9,2.4,2,,2023-01-11T08:02:36,2023-01-11T16:14:38,0.65,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"D5621,03781099999,03672099999,F6665,03772099999,03770099999"
London Heathrow,2023-01-12,55,47.4,52.1,55,40.2,50.7,46.5,81.6,0.259,100,58.33,rain,0,0,36.3,24.3,240,1003.2,86.8,10.2,10.3,0.8,1,,2023-01-12T08:01:57,2023-01-12T16:16:05,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D5621,03781099999,03672099999,03772099999,03770099999"
London Heathrow,2023-01-13,51,44.4,47.4,51,37.8,41.8,37.9,69.8,0,0,0,,0,0,36.1,26.4,254.8,1008.8,36.2,14.4,28.8,2.6,2,,2023-01-13T08:01:14,2023-01-13T16:17:33,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03781099999,03672099999,F6665,03772099999,03770099999"
London Heathrow,2023-01-14,54.8,43.8,48.8,54.8,36.9,44.6,43.4,81.7,0.387,100,54.17,rain,0,0,36.5,22.4,231.8,1000.6,78.6,12.6,11,0.9,1,,2023-01-14T08:00:29,2023-01-14T16:19:04,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D5621,03781099999,03672099999,03772099999,03770099999"
London Heathrow,2023-01-15,46.5,39,42.2,39.9,31.3,35.3,34.6,74.7,0.007,100,4.17,rain,0,0,30.1,18.4,240.1,998.4,34.9,19.8,26.4,2.3,2,,2023-01-15T07:59:41,2023-01-15T16:20:36,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"D5621,03781099999,03672099999,D4121,03772099999,03770099999"
London Heathrow,2023-01-16,41.8,29.1,38.3,36,25.2,32.3,33.2,82.1,0.438,100,41.67,rain,0.2,0.2,25.8,15,335.6,986.1,72.2,13.9,15.1,1.3,1,,2023-01-16T07:58:50,2023-01-16T16:22:10,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"D5621,03781099999,03672099999,03772099999,03770099999"
London Heathrow,2023-01-17,35.5,26,30.2,35.5,22.8,28.2,26.7,87,0,0,0,,0,0.3,7.6,6.8,297.1,989.8,15.8,15.2,22.2,1.9,2,,2023-01-17T07:57:56,2023-01-17T16:23:45,0.85,Clear,Clear conditions throughout the day.,clear-day,"D5621,03781099999,03672099999,03772099999,03770099999"
